group,condition,num_concepts,dreambooth_clip,baseline_clip,delta_clip,dreambooth_fid,baseline_fid,delta_fid,dreambooth_kid,baseline_kid,delta_kid,dreambooth_clip_ci95,baseline_clip_ci95,dreambooth_fid_ci95,baseline_fid_ci95,dreambooth_kid_ci95,baseline_kid_ci95
artifact_object_clothing,with_finetuning,3,29.26540156586965,20.622455331802367,8.642946234067281,221.30130987420694,342.3521585794754,-121.05084870526844,0.057915667029473816,0.1445770018536893,-0.08666133482421548,"29.265 [27.286, 30.365]","20.622 [19.835, 21.697]","221.301 [204.157, 240.774]","342.352 [312.892, 367.395]","0.058 [0.047, 0.065]","0.145 [0.117, 0.186]"
artifact_object_clothing,without_finetuning,3,18.51319124428431,18.51319124428431,0.0,360.15947935629566,360.15947935629566,0.0,0.17820044315733533,0.17820044315733533,0.0,"18.513 [16.532, 20.470]","18.513 [16.532, 20.470]","360.159 [354.662, 365.367]","360.159 [354.662, 365.367]","0.178 [0.160, 0.209]","0.178 [0.160, 0.209]"
folklore_being,with_finetuning,2,28.25241085910797,20.03040753173828,8.222003327369691,280.5476619034166,366.201891142302,-85.65422923888536,0.11325903026379613,0.11376862421697664,-0.0005095939531805094,"28.252 [26.596, 29.909]","20.030 [17.923, 22.138]","280.548 [266.886, 294.210]","366.202 [363.029, 369.374]","0.113 [0.082, 0.145]","0.114 [0.098, 0.130]"
folklore_being,without_finetuning,2,19.052584152698515,19.080205598831178,-0.027621446132663152,344.68142843188616,344.30181621344485,0.3796122184413093,0.11454233195804586,0.11543474448596469,-0.0008924125279188289,"19.053 [17.637, 20.469]","19.080 [17.692, 20.469]","344.681 [335.341, 354.022]","344.302 [335.341, 353.263]","0.115 [0.097, 0.132]","0.115 [0.097, 0.134]"
food,with_finetuning,3,29.5669332151413,19.844882824579873,9.722050390561428,211.55727188984739,344.06261429649845,-132.50534240665107,0.06156559283181936,0.13741497845455353,-0.07584938562273416,"29.567 [25.403, 33.122]","19.845 [16.234, 24.436]","211.557 [177.638, 229.212]","344.063 [296.421, 370.349]","0.062 [0.052, 0.069]","0.137 [0.059, 0.187]"
food,without_finetuning,3,18.49545407009125,18.49545407009125,0.0,313.3573738653095,313.3573738653095,0.0,0.15108623270927124,0.15108623270927124,0.0,"18.495 [16.455, 21.384]","18.495 [16.455, 21.384]","313.357 [280.297, 330.224]","313.357 [280.297, 330.224]","0.151 [0.119, 0.214]","0.151 [0.119, 0.214]"
