concept,concept_safe,group,method,condition,folder,sample_count,clip_mean,clip_std,clip_ci95_low,clip_ci95_high,fid_mean,fid_std,fid_ci95_low,fid_ci95_high,kid_mean,kid_std,kid_ci95_low,kid_ci95_high
paçoca,pacoca,food,dreambooth_lora,checkpoint_1500,/workspace/outputs/dreambooth/output_pacoca_checkpoint_1500,100,20.695328407287597,5.302866948553011,19.72225883293152,21.743273270130157,269.8360623325572,8.162353070062434,269.06430056870994,301.05043261829525,0.10601671525169998,0.015459922663420587,0.0948358260796279,0.15718168293225368
paçoca,pacoca,food,dreambooth_lora,checkpoint_2000,/workspace/outputs/dreambooth/output_pacoca_checkpoint_2000,100,21.629207668304442,5.634532505139127,20.516611952781677,22.847785596847533,257.74330743975065,8.620209800416418,256.5364850171413,290.0850817048167,0.08732160506560138,0.013897554975484538,0.0786137357459997,0.1337918803348383
paçoca,pacoca,food,dreambooth_lora,checkpoint_2500,/workspace/outputs/dreambooth/output_pacoca_checkpoint_2500,100,25.246970195770263,5.4649085120539125,24.19483776307106,26.235346177101135,223.4838485748834,9.309556802179362,223.49443134570745,259.6101592456926,0.0445381901098485,0.009302105737625634,0.04403844837552826,0.08132066674980701
paçoca,pacoca,food,dreambooth_lora,checkpoint_3000,/workspace/outputs/dreambooth/output_a_photo_of_pacoca_with_finetuning,1000,25.402661824226378,5.492847523412005,25.062628277993202,25.72525701985359,227.8217017365283,7.18529457204264,232.6120815933958,261.3149710233386,0.05189558914010872,0.007673788213836214,0.053473611612108694,0.08318658775293411
saci,saci,folklore_being,dreambooth_lora,checkpoint_500,/workspace/outputs/dreambooth/output_saci_checkpoint_500,100,24.533915367126465,3.395732259249876,23.853808676719662,25.179794874668122,327.0874119052001,13.582385591656108,323.83675196296474,376.55201067840835,0.10019542030946216,0.013852885717512116,0.09921382111254552,0.152986909621112
saci,saci,folklore_being,dreambooth_lora,checkpoint_1000,/workspace/outputs/dreambooth/output_saci_checkpoint_1000,100,25.162568969726564,3.155950119920301,24.538074385643004,25.770984440803527,319.95957734865317,16.06251195862268,306.7665821995013,369.6480413246558,0.16768492183054384,0.016775730676168846,0.1605626787583239,0.226679084591848
saci,saci,folklore_being,dreambooth_lora,checkpoint_1500,/workspace/outputs/dreambooth/output_saci_checkpoint_1500,100,26.35535427093506,2.974021282114323,25.74539087533951,26.929456844329835,310.8247409354617,14.872147908884989,300.4928579619332,358.4012337825015,0.14358780016354755,0.017694074710759084,0.13390089190236062,0.20335221581189014
saci,saci,folklore_being,dreambooth_lora,checkpoint_2000,/workspace/outputs/dreambooth/output_saci_checkpoint_2000,100,26.925386333465575,2.823220411348148,26.34813027191162,27.47614667081833,293.4951450635741,14.685959900097197,281.53706268530703,338.28549880021853,0.13121564597843172,0.018204624714602782,0.12386333091208848,0.19405126415696347
saci,saci,folklore_being,dreambooth_lora,checkpoint_2500,/workspace/outputs/dreambooth/output_saci_checkpoint_2500,100,27.637748966217043,2.925129224541329,27.092727974414828,28.201943261623384,292.9078275421396,15.5471151168025,281.8657834809676,344.2931319622598,0.12920219384019216,0.018759679597024275,0.11847123173344622,0.19049351234634132
saci,saci,folklore_being,dreambooth_lora,checkpoint_3000,/workspace/outputs/dreambooth/output_a_photo_of_saci_with_finetuning,1000,26.59622331428528,2.817385201523031,26.426652838802337,26.767902407979964,294.2096961109239,16.42930288079891,280.2981471728998,344.0461828940026,0.14486780530940502,0.018486788133460937,0.13162462131839162,0.20323663029188957
