group,method,condition,num_concepts,total_sample_count,clip_group_mean,clip_group_std,clip_group_ci95_low,clip_group_ci95_high,fid_group_mean,fid_group_std,fid_group_ci95_low,fid_group_ci95_high,kid_group_mean,kid_group_std,kid_group_ci95_low,kid_group_ci95_high
artifact_object_clothing,dreambooth_lora,checkpoint_1000,3,300,24.800698738098145,1.1177231486477526,23.93279739379883,26.061913261413576,280.75462629514556,37.19442938281028,258.4083140146039,323.69108394373325,0.09009395687405997,0.006578089330382417,0.0825078963952639,0.09421868584352389
artifact_object_clothing,dreambooth_lora,checkpoint_1500,3,300,26.43482805887858,1.369644965939674,24.864862480163573,27.385138988494873,266.846275092965,26.665493622401577,246.21330877906416,296.95566293678274,0.08760169135929363,0.03227496061454395,0.06761094878862517,0.12483583540103727
artifact_object_clothing,dreambooth_lora,checkpoint_2000,3,300,27.88070873896281,0.8428933002863382,26.910011844635008,28.42753702163696,253.671223323467,15.23844132647812,236.5817996368781,265.84550712578175,0.07465908404343698,0.01177824953720326,0.0649076359073808,0.08774511301432852
artifact_object_clothing,dreambooth_lora,checkpoint_2500,3,300,28.03074625015259,2.204131141326874,25.941313209533693,30.333992176055908,241.01493677155295,19.473261247306674,227.51533651044502,263.33806339963394,0.07008478434324268,0.01578759872484021,0.0554220530921099,0.086797061848225
artifact_object_clothing,dreambooth_lora,checkpoint_3000,3,3000,29.26540156586965,1.7175863454384528,27.28614738559723,30.3646531124115,221.30130987420694,18.41907320728013,204.1574096681714,240.7740522470217,0.057915667029473816,0.00970335955217706,0.04680137344977986,0.06470144934994249
artifact_object_clothing,dreambooth_lora,checkpoint_500,3,300,22.92848033587138,1.610590473681174,21.247777662277223,24.458346405029296,319.82497735473015,4.392144871230461,315.0194228755211,323.6316495976706,0.11790511632386129,0.0492650500494173,0.07222568811123997,0.1701061576310594
folklore_being,dreambooth_lora,checkpoint_1000,2,200,26.516219482421874,1.9143509137670038,25.162568969726564,27.869869995117188,300.77248943016866,27.13463995676571,281.5854015116842,319.95957734865317,0.11221829031865393,0.0784416625432656,0.05675165880676403,0.16768492183054384
folklore_being,dreambooth_lora,checkpoint_1500,2,200,26.960596055984496,0.8559411409318172,26.35535427093506,27.565837841033936,296.0971201258658,20.828001090418812,281.3694993162698,310.8247409354617,0.11161212632316975,0.04522043161108088,0.07963645248279194,0.14358780016354755
folklore_being,dreambooth_lora,checkpoint_2000,2,200,28.328045320510864,1.9836593628639547,26.925386333465575,29.730704307556152,285.6075629687904,11.15472557277431,277.7199808740067,293.4951450635741,0.10041543111769724,0.04355808158005604,0.06961521625696276,0.13121564597843172
folklore_being,dreambooth_lora,checkpoint_2500,2,200,27.886606016159057,0.3519370151201576,27.637748966217043,28.135463066101075,282.5471225531426,14.652249511186247,272.1864175641455,292.9078275421396,0.10730057855766639,0.030973561370425784,0.08539896327514063,0.12920219384019216
folklore_being,dreambooth_lora,checkpoint_3000,2,2000,28.25241085910797,2.3422028877216503,26.59622331428528,29.908598403930664,280.5476619034166,19.32103406586199,266.8856276959093,294.2096961109239,0.11325903026379613,0.04470155835950033,0.08165025521818725,0.14486780530940502
folklore_being,dreambooth_lora,checkpoint_500,2,200,25.317267141342164,1.1078267032048659,24.533915367126465,26.10061891555786,313.2457163233423,19.575113618103057,299.4040207414845,327.0874119052001,0.09156142070847717,0.01221031933323686,0.08292742110749218,0.10019542030946216
food,dreambooth_lora,checkpoint_1000,3,300,26.35014651298523,4.786784886848492,21.432476587295533,30.99431930541992,228.4688589379235,32.1152501274789,195.1908895528736,259.27900646051626,0.06840145133980154,0.01790593433645354,0.04826154545147121,0.08252240756319074
food,dreambooth_lora,checkpoint_1500,3,300,26.964097544352214,5.904222528523957,20.695328407287597,32.41941808700562,229.0347984845439,40.56877244236062,188.70258486756467,269.8360623325572,0.07210116253002614,0.03026816198522089,0.047831540119723126,0.10601671525169998
food,dreambooth_lora,checkpoint_2000,3,300,27.658840707143145,5.3601489419790935,21.629207668304442,31.883550090789797,225.9505676327274,36.60491924631469,185.93291284010988,257.74330743975065,0.07277932543214227,0.012594579261332324,0.06538569452719578,0.08732160506560138
food,dreambooth_lora,checkpoint_2500,3,300,29.345873826344803,3.674322888821624,25.246970195770263,32.34395120620727,212.79252813124296,30.248206938384726,178.65058736199973,236.24314845684574,0.06021681119142815,0.015106945614077504,0.0445381901098485,0.0746784654655106
food,dreambooth_lora,checkpoint_3000,3,3000,29.5669332151413,3.895660158904602,25.402661824226378,33.12226302909851,211.55727188984739,29.383411954089098,177.63773179724012,229.2123821357738,0.06156559283181936,0.008771428510956301,0.05189558914010872,0.06900946983270684
food,dreambooth_lora,checkpoint_500,3,300,25.474594904581704,4.914130343451033,20.038897609710695,29.602611351013184,239.8754260329126,36.303252209173884,200.43834861115954,271.90102833694084,0.06912472963506566,0.03872847565070424,0.031202423011758018,0.10861193520971124
