group,method,condition,num_concepts,total_sample_count,clip_group_mean,clip_group_std,clip_group_ci95_low,clip_group_ci95_high,fid_group_mean,fid_group_std,fid_group_ci95_low,fid_group_ci95_high,kid_group_mean,kid_group_std,kid_group_ci95_low,kid_group_ci95_high
artifact_object_clothing,base_model,without_finetuning,3,3000,18.51319124428431,1.9689194605131293,16.531928852558135,20.46953116607666,360.15947935629566,5.3587589022652224,354.6615145813713,365.3672387716469,0.17820044315733533,0.026506609769623025,0.16008878062215048,0.20862391635467192
artifact_object_clothing,dreambooth_lora,with_finetuning,3,3000,29.26540156586965,1.7175863454384528,27.28614738559723,30.3646531124115,221.30130987420694,18.41907320728013,204.1574096681714,240.7740522470217,0.057915667029473816,0.00970335955217706,0.04680137344977986,0.06470144934994249
folklore_being,base_model,without_finetuning,2,2000,19.052584152698515,2.002496605486882,17.6366052236557,20.468563081741333,344.68142843188616,13.209185889788685,335.3411235152629,354.0217333485094,0.11454233195804586,0.024591315100836342,0.09715364629194934,0.1319310176241424
folklore_being,dreambooth_lora,with_finetuning,2,2000,28.25241085910797,2.3422028877216503,26.59622331428528,29.908598403930664,280.5476619034166,19.32103406586199,266.8856276959093,294.2096961109239,0.11325903026379613,0.04470155835950033,0.08165025521818725,0.14486780530940502
food,base_model,without_finetuning,3,3000,18.49545407009125,2.57179051378614,16.454518040657042,21.384087371826173,313.3573738653095,28.63332852880756,280.2967399452761,330.22438986419655,0.15108623270927124,0.05413000644429006,0.11876089907188137,0.21357774800904172
food,dreambooth_lora,with_finetuning,3,3000,29.5669332151413,3.895660158904602,25.402661824226378,33.12226302909851,211.55727188984739,29.383411954089098,177.63773179724012,229.2123821357738,0.06156559283181936,0.008771428510956301,0.05189558914010872,0.06900946983270684
